Company Name,Ticker,Current Stock Price,Percentage
iShares ESG Aware MSCI USA ETF,ESGU,99.99,19.00%
iShares Core S&P 500 ETF,IVV,437.23,16.00%
iShares Core Total USD Bond Market ETF,IUSB,53.82,11.50%
iShares MSCI EAFE Value ETF,EFV,50.41,9.00%
iShares MSCI EAFE Growth ETF,EFG,109.97,8.50%
iShares US Treasury Bond ETF,GOVT,26.87,6.50%
iShares MSCI USA Value Factor ETF,VLUE,101.07,4.50%
iShares ESG Aware MSCI EM ETF,ESGE,41.15,4.00%
iShares Core S&P Small-Cap ETF,IJR,107.55,4.00%
iShares TIPS Bond ETF,TIP,128.82,4.00%
iShares Global Tech ETF,IXN,58.03,4.00%
iShares Global Financials ETF,IXG,76.31,3.00%
iShares GSCI Cmd Dyn Roll Stgy ETF,COMT,34.27,2.00%
iShares US Energy ETF,IYE,25.97,1.00%
Apple Inc.,AAPL,142.94,0.50%
StarBucks Inc.,SBUX,111.82,0.50%
